"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"115",9,"Tyjae Spears",TEN,"RB39","7","22","3 out of 5 stars","-9"
"116",9,"Bryce Young",CAR,"QB15","7","22","4 out of 5 stars","-6"
"117",9,"Jared Goff",DET,"QB16","9","29","3 out of 5 stars","+41"
"118",9,"Antonio Gibson",WAS,"RB40","14","25","3 out of 5 stars","0"
"119",9,"Dalton Schultz",HOU,"TE14","7","27","2 out of 5 stars","-12"
"120",9,"Devin Singletary",HOU,"RB41","7","26","3 out of 5 stars","+18"
"121",9,"Mike Williams",LAC,"WR50","5","29","3 out of 5 stars","-29"
"122",9,"Marvin Mims Jr.",DEN,"WR51","9","21","3 out of 5 stars","-20"
"123",9,"Tyler Lockett",SEA,"WR52","5","31","2 out of 5 stars","-18"
"124",9,"Kirk Cousins",MIN,"QB17","13","35","5 out of 5 stars","+23"
"125",9,"Jayden Reed",GB,"WR53","6","23","4 out of 5 stars","-21"
"126",9,"Brock Purdy",SF,"QB18","9","23","3 out of 5 stars","+101"
"127",9,"Darren Waller",NYG,"TE15","13","31","4 out of 5 stars","-26"
"128",9,"Sam Howell",WAS,"QB19","14","23","4 out of 5 stars","+149"
"129",9,"Michael Mayer",LV,"TE16","13","22","3 out of 5 stars","-31"
"130",9,"Romeo Doubs",GB,"WR54","6","23","4 out of 5 stars","+40"
"131",9,"Russell Wilson",DEN,"QB20","9","35","4 out of 5 stars","+19"
"132",9,"Damien Harris",BUF,"RB42","13","26","3 out of 5 stars","+10"
"133",9,"Courtland Sutton",DEN,"WR55","9","28","3 out of 5 stars","-25"
"134",9,"Chigoziem Okonkwo",TEN,"TE17","7","24","3 out of 5 stars","+20"
"135",9,"Kenneth Gainwell",PHI,"RB43","10","24","3 out of 5 stars","+37"
"136",10,"Geno Smith",SEA,"QB21","5","33","2 out of 5 stars","+57"
"137",10,"Zach Evans",LAR,"RB44","10","22","3 out of 5 stars","+16"
"138",10,"Cam Akers",MIN,"RB45","13","24","3 out of 5 stars","-62"
"139",10,"Daniel Jones",NYG,"QB22","13","26","2 out of 5 stars","-7"
"140",10,"Jonathan Mingo",CAR,"WR56","7","22","4 out of 5 stars","-50"
"141",10,"Brandin Cooks",DAL,"WR57","7","30","4 out of 5 stars","-14"
"142",10,"Elijah Mitchell",SF,"RB46","9","25","2 out of 5 stars","-12"
"143",10,"Jalin Hyatt",NYG,"WR58","13","22","3 out of 5 stars","-20"
"144",10,"Jamaal Williams",NO,"RB47","11","28","3 out of 5 stars","-20"
"145",10,"Greg Dulcich",DEN,"TE18","9","23","4 out of 5 stars","-11"
"146",10,"Kadarius Toney",KC,"WR59","10","24","3 out of 5 stars","-32"
"147",10,"Jordan Love",GB,"QB23","6","25","4 out of 5 stars","+54"
"148",10,"Skyy Moore",KC,"WR60","10","23","3 out of 5 stars","-17"
"149",10,"Tyler Higbee",LAR,"TE19","10","30","2 out of 5 stars","+60"
"150",10,"JuJu Smith-Schuster",NE,"WR61","11","27","4 out of 5 stars","-41"
"151",10,"Darnell Mooney",CHI,"WR62","13","26","4 out of 5 stars","-15"
"152",10,"Derek Carr",NO,"QB24","11","32","4 out of 5 stars","+55"
"153",10,"Kenny Pickett",PIT,"QB25","6","25","2 out of 5 stars","+14"
"154",10,"Odell Beckham Jr.",BAL,"WR63","13","31","2 out of 5 stars","+3"
"155",10,"Wan'Dale Robinson",NYG,"WR64","13","22","3 out of 5 stars","-22"
"156",10,"Kyren Williams",LAR,"RB48","10","23","3 out of 5 stars","+135"
"157",10,"Chase Brown",CIN,"RB49","7","23","2 out of 5 stars","-17"
"158",10,"Jaylen Warren",PIT,"RB50","6","25","4 out of 5 stars","+50"
"159",10,"D'Onta Foreman",CHI,"RB51","13","27","3 out of 5 stars","-3"
"160",10,"Jerome Ford",CLE,"RB52","5","24","2 out of 5 stars","+58"
"161",10,"Rashaad Penny",PHI,"RB53","10","27","3 out of 5 stars","-16"
"162",10,"Will Levis",TEN,"QB26","7","24","3 out of 5 stars","+27"
"163",10,"Rondale Moore",ARI,"WR65","14","23","1 out of 5 stars","-15"
"164",10,"Khalil Shakir",BUF,"WR66","13","23","2 out of 5 stars","+64"
"165",10,"Gerald Everett",LAC,"TE20","5","29","3 out of 5 stars","+41"
"166",10,"Jeff Wilson Jr.",MIA,"RB54","10","28","4 out of 5 stars","+32"
"167",11,"Israel Abanikanda",NYJ,"RB55","7","21","5 out of 5 stars","-26"
"168",11,"Michael Thomas",NO,"WR67","11","30","4 out of 5 stars","-31"
"169",11,"Tyler Boyd",CIN,"WR68","7","29","3 out of 5 stars","-4"
"170",11,"Alec Pierce",IND,"WR69","11","23","2 out of 5 stars","-18"
"171",11,"Zamir White",LV,"RB56","13","24","3 out of 5 stars","+28"
"172",11,"Clyde Edwards-Helaire",KC,"RB57","10","24","4 out of 5 stars","-26"
"173",11,"Luke Musgrave",GB,"TE21","6","23","4 out of 5 stars","-34"
"174",11,"Aaron Rodgers",NYJ,"QB27","7","40","4 out of 5 stars","-5"
"175",11,"K.J. Osborn",MIN,"WR70","13","26","3 out of 5 stars","+22"
"176",11,"Allen Lazard",NYJ,"WR71","7","27","4 out of 5 stars","-27"
"177",11,"Zach Ertz",ARI,"TE22","14","33","3 out of 5 stars","+10"
"178",11,"Donovan Peoples-Jones",DET,"WR72","9","24","3 out of 5 stars","-14"
"179",11,"Zay Jones",JAC,"WR73","9","28","3 out of 5 stars","+3"
"180",11,"Curtis Samuel",WAS,"WR74","14","27","3 out of 5 stars","+20"
"181",11,"Michael Gallup",DAL,"WR75","7","27","4 out of 5 stars","-20"
"182",11,"DJ Chark Jr.",CAR,"WR76","7","27","4 out of 5 stars","-20"
"183",11,"Raheem Mostert",MIA,"RB58","10","31","4 out of 5 stars","-4"
"184",11,"Chase Claypool",MIA,"WR77","10","25","3 out of 5 stars","-16"
"185",11,"Isaiah Likely",BAL,"TE23","13","23","3 out of 5 stars","+11"
"186",11,"Michael Carter",ARI,"RB59","14","24","2 out of 5 stars","-11"
"187",11,"Dawson Knox",BUF,"TE24","13","27","3 out of 5 stars","-27"
"188",11,"Hunter Renfrow",LV,"WR78","13","27","4 out of 5 stars","+2"
"189",11,"John Metchie III",HOU,"WR79","7","23","3 out of 5 stars","-34"
"190",11,"Dalvin Cook",NYJ,"RB60","7","28","5 out of 5 stars","-131"
"191",11,"Jerick McKinnon",KC,"RB61","10","31","4 out of 5 stars","-18"
"192",11,"Cade Otton",TB,"TE25","5","24","3 out of 5 stars","+54"
"193",11,"Keaton Mitchell",BAL,"RB62","13","21","2 out of 5 stars","+47"
"194",11,"Dallas Cowboys",DAL,"DST1","7","-","4 out of 5 stars","-"
"195",11,"Buffalo Bills",BUF,"DST2","13","-","5 out of 5 stars","-"
"196",11,"Adam Thielen",CAR,"WR80","7","33","4 out of 5 stars","-25"
"197",11,"Michael Wilson",ARI,"WR81","14","23","1 out of 5 stars","-12"
"198",11,"Hunter Henry",NE,"TE26","11","28","3 out of 5 stars","-"
"199",11,"San Francisco 49ers",SF,"DST3","9","-","3 out of 5 stars","-"
"200",11,"New York Jets",NYJ,"DST4","7","-","3 out of 5 stars","-"
"201",11,"Jelani Woods",IND,"TE27","11","25","4 out of 5 stars","+28"
"202",12,"Baltimore Ravens",BAL,"DST5","13","-","1 out of 5 stars","-"
"203",12,"New England Patriots",NE,"DST6","11","-","2 out of 5 stars","-"
"204",12,"Justin Tucker",BAL,"K1","13","34","2 out of 5 stars","+46"
"205",12,"Marquez Valdes-Scantling",KC,"WR82","10","29","3 out of 5 stars","+10"
"206",12,"Gus Edwards",BAL,"RB63","13","28","2 out of 5 stars","+30"
"207",12,"Matthew Stafford",LAR,"QB28","10","35","3 out of 5 stars","+24"
"208",12,"Daniel Bellinger",NYG,"TE28","13","23","4 out of 5 stars","+65"
"209",12,"Samaje Perine",DEN,"RB64","9","28","3 out of 5 stars","-26"
"210",12,"Mac Jones",NE,"QB29","11","25","4 out of 5 stars","+51"
"211",12,"Philadelphia Eagles",PHI,"DST7","10","-","3 out of 5 stars","-"
